time,lat_5deg,lon_5deg,ph
1850-12-31,-50.0,-50.0,8.133903
1850-12-31,-50.0,-45.0,8.13805
1850-12-31,-50.0,-40.0,8.144046
1850-12-31,-50.0,-35.0,8.153968
1850-12-31,-50.0,-30.0,8.158097
1850-12-31,-50.0,-25.0,8.160015
1850-12-31,-50.0,-20.0,8.162693
1850-12-31,-50.0,-15.0,8.166392
1850-12-31,-50.0,-10.0,8.170874
1850-12-31,-50.0,-5.0,8.161711
1850-12-31,-50.0,-0.0,8.161396
1850-12-31,-50.0,5.0,8.160724
1850-12-31,-50.0,10.0,8.157448
1850-12-31,-50.0,15.0,8.154737
1850-12-31,-50.0,20.0,8.153383
1850-12-31,-50.0,25.0,8.153124
1850-12-31,-50.0,30.0,8.1535425
1850-12-31,-50.0,35.0,8.152145
1850-12-31,-50.0,40.0,8.150644
1850-12-31,-50.0,45.0,8.1487055
1850-12-31,-50.0,50.0,8.14374
1850-12-31,-50.0,55.0,8.142261
1850-12-31,-50.0,60.0,8.14564
1850-12-31,-50.0,65.0,8.149928
1850-12-31,-50.0,70.0,8.156265
1850-12-31,-50.0,75.0,8.158409
1850-12-31,-50.0,80.0,8.1588545
1850-12-31,-50.0,85.0,8.158635
1850-12-31,-50.0,90.0,8.1582985
1850-12-31,-50.0,95.0,8.156845
1850-12-31,-50.0,100.0,8.154134
1850-12-31,-50.0,105.0,8.1537
1850-12-31,-50.0,110.0,8.155207
1850-12-31,-50.0,115.0,8.15751
1850-12-31,-50.0,120.0,8.158827
1850-12-31,-50.0,125.0,8.15962
1850-12-31,-50.0,130.0,8.160748
1850-12-31,-50.0,135.0,8.16245
1850-12-31,-50.0,140.0,8.1640415
1850-12-31,-50.0,145.0,8.164736
1850-12-31,-50.0,150.0,8.163277
1850-12-31,-50.0,155.0,8.162111
1850-12-31,-50.0,160.0,8.162078
1850-12-31,-50.0,165.0,8.161773
1850-12-31,-50.0,170.0,8.155424
1850-12-31,-50.0,175.0,8.151411
1850-12-31,-50.0,180.0,8.149895
1850-12-31,-45.0,-180.0,8.172557
1850-12-31,-45.0,-175.0,8.180554
1850-12-31,-45.0,-170.0,8.181285
1850-12-31,-45.0,-165.0,8.177386
1850-12-31,-45.0,-160.0,8.174291
1850-12-31,-45.0,-155.0,8.171628
1850-12-31,-45.0,-150.0,8.168718
1850-12-31,-45.0,-145.0,8.165382
1850-12-31,-45.0,-140.0,8.162629
1850-12-31,-45.0,-135.0,8.162043
1850-12-31,-45.0,-130.0,8.159907
1850-12-31,-45.0,-125.0,8.157381
1850-12-31,-45.0,-120.0,8.154634
1850-12-31,-45.0,-115.0,8.15421
1850-12-31,-45.0,-110.0,8.154192
1850-12-31,-45.0,-105.0,8.1536875
1850-12-31,-45.0,-100.0,8.153908
1850-12-31,-45.0,-95.0,8.156123
1850-12-31,-45.0,-90.0,8.158709
1850-12-31,-45.0,-85.0,8.157742
1850-12-31,-45.0,-80.0,8.153819
1850-12-31,-45.0,-75.0,8.186616
1850-12-31,-45.0,-65.0,8.178867
1850-12-31,-45.0,-60.0,8.150585
1850-12-31,-45.0,-55.0,8.131744
1850-12-31,-45.0,-50.0,8.138646
1850-12-31,-45.0,-45.0,8.143278
1850-12-31,-45.0,-40.0,8.147971
1850-12-31,-45.0,-35.0,8.152877
1850-12-31,-45.0,-30.0,8.158937
1850-12-31,-45.0,-25.0,8.165125
1850-12-31,-45.0,-20.0,8.168076
1850-12-31,-45.0,-15.0,8.163479
1850-12-31,-45.0,-10.0,8.165483
1850-12-31,-45.0,-5.0,8.167304
1850-12-31,-45.0,-0.0,8.168214
1850-12-31,-45.0,5.0,8.167486
1850-12-31,-45.0,10.0,8.166504
1850-12-31,-45.0,15.0,8.164466
1850-12-31,-45.0,20.0,8.16241
1850-12-31,-45.0,25.0,8.162208
1850-12-31,-45.0,30.0,8.163248
1850-12-31,-45.0,35.0,8.162898
1850-12-31,-45.0,40.0,8.165734
1850-12-31,-45.0,45.0,8.16509
1850-12-31,-45.0,50.0,8.160253
1850-12-31,-45.0,55.0,8.160352
1850-12-31,-45.0,60.0,8.162041
1850-12-31,-45.0,65.0,8.161391
1850-12-31,-45.0,70.0,8.166922
1850-12-31,-45.0,75.0,8.17062
1850-12-31,-45.0,80.0,8.171785
1850-12-31,-45.0,85.0,8.171594
1850-12-31,-45.0,90.0,8.169756
1850-12-31,-45.0,95.0,8.16595
1850-12-31,-45.0,100.0,8.163125
1850-12-31,-45.0,105.0,8.1619215
1850-12-31,-45.0,110.0,8.16064
1850-12-31,-45.0,115.0,8.159554
1850-12-31,-45.0,120.0,8.15851
1850-12-31,-45.0,125.0,8.16005
1850-12-31,-45.0,130.0,8.162895
1850-12-31,-45.0,135.0,8.166416
1850-12-31,-45.0,140.0,8.170412
1850-12-31,-45.0,145.0,8.172618
1850-12-31,-45.0,150.0,8.169384
1850-12-31,-45.0,155.0,8.166941
1850-12-31,-45.0,160.0,8.169212
1850-12-31,-45.0,165.0,8.181204
1850-12-31,-45.0,170.0,8.172395
1850-12-31,-45.0,175.0,8.16462
1850-12-31,-45.0,180.0,8.166668
1850-12-31,-40.0,-180.0,8.185644
1850-12-31,-40.0,-175.0,8.184023
1850-12-31,-40.0,-170.0,8.177858
1850-12-31,-40.0,-165.0,8.173976
1850-12-31,-40.0,-160.0,8.171963
1850-12-31,-40.0,-155.0,8.169934
1850-12-31,-40.0,-150.0,8.168378
1850-12-31,-40.0,-145.0,8.16691
1850-12-31,-40.0,-140.0,8.164819
1850-12-31,-40.0,-135.0,8.163289
1850-12-31,-40.0,-130.0,8.1613655
1850-12-31,-40.0,-125.0,8.159567
1850-12-31,-40.0,-120.0,8.158533
1850-12-31,-40.0,-115.0,8.159239
1850-12-31,-40.0,-110.0,8.157889
1850-12-31,-40.0,-105.0,8.155482
1850-12-31,-40.0,-100.0,8.15543
1850-12-31,-40.0,-95.0,8.155402
1850-12-31,-40.0,-90.0,8.154195
1850-12-31,-40.0,-85.0,8.150923
1850-12-31,-40.0,-80.0,8.147322
1850-12-31,-40.0,-75.0,8.170189
1850-12-31,-40.0,-65.0,8.160904
1850-12-31,-40.0,-60.0,8.159139
1850-12-31,-40.0,-55.0,8.171485
1850-12-31,-40.0,-50.0,8.174221
1850-12-31,-40.0,-45.0,8.175566
1850-12-31,-40.0,-40.0,8.17658
1850-12-31,-40.0,-35.0,8.178179
1850-12-31,-40.0,-30.0,8.182762
1850-12-31,-40.0,-25.0,8.184505
1850-12-31,-40.0,-20.0,8.179342
1850-12-31,-40.0,-15.0,8.176466
1850-12-31,-40.0,-10.0,8.17444
1850-12-31,-40.0,-5.0,8.17484
1850-12-31,-40.0,-0.0,8.174209
1850-12-31,-40.0,5.0,8.173583
1850-12-31,-40.0,10.0,8.176346
1850-12-31,-40.0,15.0,8.182566
1850-12-31,-40.0,20.0,8.18675
1850-12-31,-40.0,25.0,8.186685
1850-12-31,-40.0,30.0,8.182181
1850-12-31,-40.0,35.0,8.179964
1850-12-31,-40.0,40.0,8.18054
1850-12-31,-40.0,45.0,8.18091
1850-12-31,-40.0,50.0,8.177904
1850-12-31,-40.0,55.0,8.174002
1850-12-31,-40.0,60.0,8.17336
1850-12-31,-40.0,65.0,8.17417
1850-12-31,-40.0,70.0,8.173896
1850-12-31,-40.0,75.0,8.173769
1850-12-31,-40.0,80.0,8.171338
1850-12-31,-40.0,85.0,8.167569
1850-12-31,-40.0,90.0,8.1623
1850-12-31,-40.0,95.0,8.15612
1850-12-31,-40.0,100.0,8.153093
1850-12-31,-40.0,105.0,8.152436
1850-12-31,-40.0,110.0,8.158296
1850-12-31,-40.0,115.0,8.165972
1850-12-31,-40.0,120.0,8.169618
1850-12-31,-40.0,125.0,8.1697855
1850-12-31,-40.0,130.0,8.170591
1850-12-31,-40.0,135.0,8.173418
1850-12-31,-40.0,140.0,8.175724
1850-12-31,-40.0,145.0,8.175931
1850-12-31,-40.0,150.0,8.178395
1850-12-31,-40.0,155.0,8.17832
1850-12-31,-40.0,160.0,8.177111
1850-12-31,-40.0,165.0,8.177829
1850-12-31,-40.0,170.0,8.1844015
1850-12-31,-40.0,175.0,8.184446
1850-12-31,-40.0,180.0,8.188343
